PSCor PSCorErr PSErr ASCor ASErrCor ASErr OSCor OSErrCor OSErr Dropped total AScor.lat ASErrCor.lat ASErr.lat PScor.lat PSErrCor.lat PSErr.lat OScor.lat OSErrCor.lat OSErr.lat subj date run type
45 0 0 0 0 0 0 0 0 3 48 NA NA NA 151.577777777778 NA NA NA NA NA 10204 20090302 1 VGS
46 1 0 0 0 0 0 0 0 1 48 NA NA NA 170.652173913043 84 NA NA NA NA 10204 20100127 1 VGS
0 0 0 0 0 1 NA NA NA 1 2 NA NA NA NA NA NA NA NA NA 10204 20051014 1 Anti
0 0 0 0 0 1 NA NA NA 1 2 NA NA NA NA NA NA NA NA NA 10204 20070104 1 Anti
0 0 0 0 0 1 NA NA NA 1 2 NA NA NA NA NA NA NA NA NA 10204 20080103 1 Anti
0 0 0 44 4 0 0 0 0 0 48 206.204545454545 113.5 NA NA NA NA NA NA NA 10204 20090302 1 Anti
0 0 0 44 3 0 0 0 0 1 48 220.090909090909 113 NA NA NA NA NA NA NA 10204 20100127 1 Anti
0 0 0 0 0 0 0 0 0 48 48 NA NA NA NA NA NA NA NA NA 10204 20051014 1 Fix
0 0 0 0 0 0 0 0 0 48 48 NA NA NA NA NA NA NA NA NA 10204 20070104 1 Fix
0 0 0 0 0 0 0 0 0 48 48 NA NA NA NA NA NA NA NA NA 10204 20080103 1 Fix
0 0 0 0 0 0 48 0 0 0 48 NA NA NA NA NA NA NA NA NA 10204 20090302 1 Fix
0 0 0 0 0 0 48 0 0 0 48 NA NA NA NA NA NA NA NA NA 10204 20100127 1 Fix
0 0 0 0 0 1 NA NA NA 1 2 NA NA NA NA NA NA NA NA NA 10155 20040131 1 Anti
0 0 0 0 0 1 NA NA NA 1 2 NA NA NA NA NA NA NA NA NA 10155 20050718 1 Anti
0 0 0 0 0 0 0 0 0 48 48 NA NA NA NA NA NA NA NA NA 10155 20040131 1 Fix
0 0 0 0 0 0 0 0 0 48 48 NA NA NA NA NA NA NA NA NA 10155 20050718 1 Fix
45 2 0 0 0 0 0 0 0 1 48 NA NA NA 160.066666666667 98 NA NA NA NA 10202 20081222 1 VGS
45 2 0 0 0 0 0 0 0 1 48 NA NA NA 135.822222222222 102.5 NA NA NA NA 10202 20100105 1 VGS
0 0 0 0 0 1 NA NA NA 1 2 NA NA NA NA NA NA NA NA NA 10202 20051013 1 Anti
0 0 0 0 0 1 NA NA NA 1 2 NA NA NA NA NA NA NA NA NA 10202 20061113 1 Anti
0 0 0 0 0 1 NA NA NA 1 2 NA NA NA NA NA NA NA NA NA 10202 20071217 1 Anti
0 0 0 39 8 0 0 0 0 1 48 215.128205128205 135.5 NA NA NA NA NA NA NA 10202 20081222 1 Anti
0 0 0 36 11 0 0 0 0 1 48 170.583333333333 145.636363636364 NA NA NA NA NA NA NA 10202 20100105 1 Anti
0 0 0 0 0 0 0 0 0 48 48 NA NA NA NA NA NA NA NA NA 10202 20051013 1 Fix
0 0 0 0 0 0 0 0 0 48 48 NA NA NA NA NA NA NA NA NA 10202 20061113 1 Fix
0 0 0 0 0 0 0 0 0 48 48 NA NA NA NA NA NA NA NA NA 10202 20071217 1 Fix
0 0 0 0 0 0 45 0 2 1 48 NA NA NA NA NA NA NA NA 145.5 10202 20081222 1 Fix
0 0 0 0 0 0 47 0 0 1 48 NA NA NA NA NA NA NA NA NA 10202 20100105 1 Fix
48 0 0 0 0 0 0 0 0 0 48 NA NA NA 165.4375 NA NA NA NA NA 10181 20090107 1 VGS
38 0 0 0 0 0 0 0 0 10 48 NA NA NA 211.026315789474 NA NA NA NA NA 10181 20091201 1 VGS
0 0 0 0 0 1 NA NA NA 1 2 NA NA NA NA NA NA NA NA NA 10181 20050921 1 Anti
0 0 0 0 0 1 NA NA NA 1 2 NA NA NA NA NA NA NA NA NA 10181 20061204 1 Anti
0 0 0 0 0 1 NA NA NA 1 2 NA NA NA NA NA NA NA NA NA 10181 20071130 1 Anti
