LunaID	n	m
10128	8	SR_srTAggBehav,SR_srTAnxDep,SR_srTAnxProb,SR_srTAttProb,SR_srTExternal,SR_srTInternal,SR_srTThoProb,withdraw
10134	9	Puberty_tsr,SR_srTAggBehav,SR_srTAnxDep,SR_srTAnxProb,SR_srTAttProb,SR_srTExternal,SR_srTInternal,SR_srTThoProb,withdraw
10152	0	
10153	0	
10156	0	
10173	0	
10181	0	
10315	8	SR_srTAggBehav,SR_srTAnxDep,SR_srTAnxProb,SR_srTAttProb,SR_srTExternal,SR_srTInternal,SR_srTThoProb,withdraw
10385	9	Puberty_tsr,SR_srTAggBehav,SR_srTAnxDep,SR_srTAnxProb,SR_srTAttProb,SR_srTExternal,SR_srTInternal,SR_srTThoProb,withdraw
10406	0	
10431	9	Puberty_tsr,SR_srTAggBehav,SR_srTAnxDep,SR_srTAnxProb,SR_srTAttProb,SR_srTExternal,SR_srTInternal,SR_srTThoProb,withdraw
10451	8	SR_srTAggBehav,SR_srTAnxDep,SR_srTAnxProb,SR_srTAttProb,SR_srTExternal,SR_srTInternal,SR_srTThoProb,withdraw
10466	0	
10529	8	SR_srTAggBehav,SR_srTAnxDep,SR_srTAnxProb,SR_srTAttProb,SR_srTExternal,SR_srTInternal,SR_srTThoProb,withdraw
10558	9	Puberty_tsr,SR_srTAggBehav,SR_srTAnxDep,SR_srTAnxProb,SR_srTAttProb,SR_srTExternal,SR_srTInternal,SR_srTThoProb,withdraw
10567	1	Puberty_tsr
10568	0	
10572	0	
10574	9	Puberty_tsr,SR_srTAggBehav,SR_srTAnxDep,SR_srTAnxProb,SR_srTAttProb,SR_srTExternal,SR_srTInternal,SR_srTThoProb,withdraw
10585	0	
10589	0	
10594	9	Puberty_tsr,SR_srTAggBehav,SR_srTAnxDep,SR_srTAnxProb,SR_srTAttProb,SR_srTExternal,SR_srTInternal,SR_srTThoProb,withdraw
10599	0	
10601	9	Puberty_tsr,SR_srTAggBehav,SR_srTAnxDep,SR_srTAnxProb,SR_srTAttProb,SR_srTExternal,SR_srTInternal,SR_srTThoProb,withdraw
10604	0	
10605	9	Puberty_tsr,SR_srTAggBehav,SR_srTAnxDep,SR_srTAnxProb,SR_srTAttProb,SR_srTExternal,SR_srTInternal,SR_srTThoProb,withdraw
10606	9	Puberty_tsr,SR_srTAggBehav,SR_srTAnxDep,SR_srTAnxProb,SR_srTAttProb,SR_srTExternal,SR_srTInternal,SR_srTThoProb,withdraw
10608	0	
10616	0	
10623	1	Puberty_tsr
10625	9	Puberty_tsr,SR_srTAggBehav,SR_srTAnxDep,SR_srTAnxProb,SR_srTAttProb,SR_srTExternal,SR_srTInternal,SR_srTThoProb,withdraw
10627	0	
10633	0	
10635	9	Puberty_tsr,SR_srTAggBehav,SR_srTAnxDep,SR_srTAnxProb,SR_srTAttProb,SR_srTExternal,SR_srTInternal,SR_srTThoProb,withdraw
10636	0	
10637	0	
10638	0	
10644	0	
10646	0	
10652	0	
10653	0	
10662	0	
10664	8	SR_srTAggBehav,SR_srTAnxDep,SR_srTAnxProb,SR_srTAttProb,SR_srTExternal,SR_srTInternal,SR_srTThoProb,withdraw
10665	0	
10666	0	
10671	0	
10673	0	
10674	0	
10675	2	Puberty_tsr,SR_srTAnxProb
10677	0	
10680	0	
10686	8	SR_srTAggBehav,SR_srTAnxDep,SR_srTAnxProb,SR_srTAttProb,SR_srTExternal,SR_srTInternal,SR_srTThoProb,withdraw
10689	1	Puberty_tsr
10696	8	SR_srTAggBehav,SR_srTAnxDep,SR_srTAnxProb,SR_srTAttProb,SR_srTExternal,SR_srTInternal,SR_srTThoProb,withdraw
10697	0	
10699	0	
10700	0	
10701	0	
10703	0	
10707	2	Puberty_tsr,SR_srTAnxProb
10708	1	Puberty_tsr
10709	0	
10710	8	SR_srTAggBehav,SR_srTAnxDep,SR_srTAnxProb,SR_srTAttProb,SR_srTExternal,SR_srTInternal,SR_srTThoProb,withdraw
10712	1	Puberty_tsr
10713	0	
10717	0	
10745	8	SR_srTAggBehav,SR_srTAnxDep,SR_srTAnxProb,SR_srTAttProb,SR_srTExternal,SR_srTInternal,SR_srTThoProb,withdraw
10747	0	
10749	0	
10757	0	
10758	0	
10760	0	
10761	1	Puberty_tsr
10762	1	Puberty_tsr
10765	1	Puberty_tsr
10766	0	
10767	0	
10768	1	Puberty_tsr
10772	0	
10774	0	
10778	0	
10779	8	SR_srTAggBehav,SR_srTAnxDep,SR_srTAnxProb,SR_srTAttProb,SR_srTExternal,SR_srTInternal,SR_srTThoProb,withdraw
10780	0	
10782	1	Puberty_tsr
10786	1	Puberty_tsr
10787	0	
10788	1	Puberty_tsr
10790	0	
10796	0	
10798	0	
10800	0	
10802	1	Puberty_tsr
10803	1	Puberty_tsr
10804	0	
10805	1	Puberty_tsr
10806	0	
10808	0	
10811	0	
10812	0	
10814	0	
10818	0	
10821	0	
10822	0	
10826	0	
10836	0	
10839	0	
10840	0	
10841	1	Puberty_tsr
10842	0	
10843	0	
10847	0	
10849	0	
10850	0	
10852	1	Puberty_tsr
10869	0	
10870	1	Puberty_tsr
10872	1	Puberty_tsr
10873	0	
10874	1	WASI_wfull2
10875	1	Puberty_tsr
10877	0	
10879	0	
10887	0	
10888	0	
11056	1	Puberty_tsr
11058	1	Puberty_tsr
